 (2.017011370758348932e+01+0.000000000000000000e+00j)    (6.915764212071668541e-23+5.772772549373565007e-23j)
 (2.053684304772136926e+01+0.000000000000000000e+00j)    (-4.243723893090725831e-23+1.061284986915641949e-23j)
 (2.090357238785925276e+01+0.000000000000000000e+00j)    (2.733095772670560832e-23-2.237675941257326737e-23j)
 (2.127030172799713270e+01+0.000000000000000000e+00j)    (-3.075378866102289040e-23-2.636121745838183957e-23j)
 (2.163703106813501620e+01+0.000000000000000000e+00j)    (1.469141602960430190e-23-4.173388901965661621e-24j)
 (2.200376040827289614e+01+0.000000000000000000e+00j)    (-1.475513687650746767e-23+2.219199613404036100e-23j)
 (2.237048974841077964e+01+0.000000000000000000e+00j)    (2.256962551877704046e-23-1.814458658119397322e-23j)
 (2.273721908854865958e+01+0.000000000000000000e+00j)    (-1.047358394104226723e-23+3.043721452464240367e-23j)
 (2.310394842868654308e+01+0.000000000000000000e+00j)    (3.161071924126273720e-24+8.222606828596325505e-24j)
 (2.347067776882442303e+01+0.000000000000000000e+00j)    (6.753123706408339509e-24-6.504956674236837167e-24j)
 (2.383740710896230297e+01+0.000000000000000000e+00j)    (-3.584457824376708721e-23+6.303304088830562021e-24j)
 (2.420413644910018647e+01+0.000000000000000000e+00j)    (-2.384466842021775734e-23+4.234116163593427484e-23j)
 (2.457086578923806641e+01+0.000000000000000000e+00j)    (-2.993579712020219407e-23+4.245430066392660964e-23j)
 (2.493759512937594991e+01+0.000000000000000000e+00j)    (-4.698283302351864435e-23+5.343360617587638623e-23j)
 (2.530432446951382985e+01+0.000000000000000000e+00j)    (-4.275892031071957349e-23-1.706391413323793316e-23j)
 (2.567105380965171335e+01+0.000000000000000000e+00j)    (-5.562964353878288702e-23-1.641875928165323752e-23j)
 (2.603778314978959330e+01+0.000000000000000000e+00j)    (-3.677363703609344603e-23+5.463180839448279351e-25j)
 (2.640451248992747679e+01+0.000000000000000000e+00j)    (-4.704527661800441119e-23-3.145830642353445262e-23j)
 (2.677124183006535674e+01+0.000000000000000000e+00j)    (-2.629026079225419698e-23-9.380557321166283869e-24j)
 (2.713797117020324023e+01+0.000000000000000000e+00j)    (-4.132747843246721023e-23-4.248663593946759727e-23j)
 (2.750470051034112018e+01+0.000000000000000000e+00j)    (-1.753026781597518954e-23-5.456051910914212747e-23j)
 (2.787142985047900368e+01+0.000000000000000000e+00j)    (-4.274899934404059665e-23-2.817778879994553840e-23j)
 (2.823815919061688362e+01+0.000000000000000000e+00j)    (-7.196592958295975110e-24-2.984595087273674317e-23j)
 (2.860488853075476712e+01+0.000000000000000000e+00j)    (-3.010162707318632496e-23-3.162428252529446631e-23j)
 (2.897161787089264706e+01+0.000000000000000000e+00j)    (-3.191617576390042537e-23-2.725262315838856928e-23j)
 (2.933834721103053056e+01+0.000000000000000000e+00j)    (-3.225684563532398897e-23-1.867815654731887344e-23j)
 (2.970507655116841050e+01+0.000000000000000000e+00j)    (-4.334695886285897727e-23-2.015331749526134643e-23j)
 (3.007180589130629045e+01+0.000000000000000000e+00j)    (-2.278882653447011741e-23-1.583592817559360875e-23j)
 (3.043853523144417395e+01+0.000000000000000000e+00j)    (-4.443335192015587183e-23-2.199109902149471083e-23j)
 (3.080526457158205389e+01+0.000000000000000000e+00j)    (-6.477106591088055995e-23-2.447127774558474498e-23j)
 (3.117199391171993739e+01+0.000000000000000000e+00j)    (-4.016516335706144753e-23-6.152608118932680845e-24j)
 (3.153872325185781733e+01+0.000000000000000000e+00j)    (-4.673609235992351985e-23-3.522360737568843825e-24j)
 (3.190545259199570083e+01+0.000000000000000000e+00j)    (-5.212373919164150198e-23+4.121092990021727879e-24j)
 (3.227218193213358433e+01+0.000000000000000000e+00j)    (-3.662354964163988582e-23+2.172777025106892448e-23j)
 (3.263891127227146427e+01+0.000000000000000000e+00j)    (-1.647204100298626367e-23+1.788619936709412981e-23j)
 (3.300564061240934421e+01+0.000000000000000000e+00j)    (-4.122849633933212963e-23+1.734869043061006779e-23j)
 (3.337236995254722416e+01+0.000000000000000000e+00j)    (-3.007229190555157860e-23+2.378123235112767030e-23j)
 (3.373909929268511121e+01+0.000000000000000000e+00j)    (-1.362248060325991046e-23+3.825514608037764892e-23j)
 (3.410582863282299115e+01+0.000000000000000000e+00j)    (-1.499240466764492546e-23+4.478553783826942592e-23j)
 (3.447255797296087110e+01+0.000000000000000000e+00j)    (6.850150283502319728e-24+1.945108370763119079e-23j)
 (3.483928731309875104e+01+0.000000000000000000e+00j)    (1.450948030075057285e-23+2.528179666994728143e-23j)
 (3.520601665323663099e+01+0.000000000000000000e+00j)    (2.615043841653007205e-23+2.666696466691871578e-23j)
 (3.557274599337451804e+01+0.000000000000000000e+00j)    (2.958661309393750953e-23+2.298118989297819297e-23j)
 (3.593947533351239798e+01+0.000000000000000000e+00j)    (3.195974001056516147e-23-4.251802286958984630e-24j)
 (3.630620467365027793e+01+0.000000000000000000e+00j)    (3.561717778627173121e-23+1.435918951463591878e-23j)
