time,H1,L1
1420878138.2507524,8.150032018230782e-23,3.778733489620516e-23
1420878138.2509966,-1.5477753221835417e-22,-3.104152572253003e-22
1420878138.2512407,1.0356486372557504e-22,3.1496291677154996e-22
1420878138.2514849,-2.9202804104596593e-22,-3.7398481870501296e-22
1420878138.251729,4.087472531197043e-23,-6.927871005283269e-24
1420878138.2519732,-5.053285278332115e-22,-2.890880491522963e-23
1420878138.2522173,1.2096071401824484e-22,-1.276416108642032e-22
1420878138.2524614,-4.1402615553879165e-23,2.755404785915948e-23
1420878138.2527056,-1.5698909293866286e-22,-7.278329869668292e-24
1420878138.2529497,-5.240347314393939e-22,1.5222874325834534e-22
1420878138.2531939,-3.775015384613774e-22,-2.724455527777924e-22
1420878138.253438,-1.2814774154140734e-22,-5.2052186649238554e-23
1420878138.2536821,-2.736713595063619e-22,2.394579068287043e-22
1420878138.2539263,-2.4794170762532343e-22,-7.011416581143953e-22
1420878138.2541704,-1.8153848352056822e-22,2.536817138001013e-22
1420878138.2544146,-6.379556429837225e-22,-1.206516559709311e-22
1420878138.2546587,1.0962951113731064e-22,2.6180903760911545e-22
1420878138.2549028,1.1552797601808346e-22,-2.1714567921951877e-22
1420878138.255147,-7.725221104404571e-22,4.86608438973775e-22
1420878138.2553911,2.9035864771535593e-22,1.5813898399766183e-23
1420878138.2556353,1.0668179167879792e-22,9.847556133925418e-23
1420878138.2558794,-7.92103647058681e-23,2.4406858602915795e-23
1420878138.2561235,-9.010633754665293e-23,2.5815553194587223e-22
1420878138.2563677,-6.158493677767715e-22,-2.547742919304573e-22
1420878138.2566118,1.532763610599482e-22,-1.604730946636321e-22
1420878138.256856,-6.067557411022169e-22,1.0044738086806559e-22
1420878138.2571,1.2336595117262402e-22,1.203142172178709e-22
1420878138.2573442,-5.950795506865854e-22,2.5707398364136756e-22
1420878138.2575884,-1.408113375718743e-23,7.897675787483863e-23
1420878138.2578325,8.426020217017755e-23,1.9017782015155408e-23
1420878138.2580767,-1.054072156819008e-22,2.9951740317460106e-22
1420878138.2583208,9.608776800992596e-23,-3.324485441856695e-22
1420878138.258565,-1.7606645402243566e-22,8.502546027936481e-23
1420878138.258809,-5.648169851602275e-23,1.697154570199887e-23
1420878138.2590532,-9.875006162234335e-24,1.0428304586786395e-22
1420878138.2592974,-5.0010766905576356e-23,2.8644055834139825e-22
1420878138.2595415,-2.8701201272675613e-22,-9.434460942019121e-23
1420878138.2597857,5.807994910874581e-23,3.787895813618563e-22
